Participant,List,Trial,Condition,Event Category,Event Type,Layer,Hotspot,Trial Start,Elapsed,X,Y,Browser,Version,OS,image-left,image-right,audio
46,2_1,bell,2_1FillerL,mouse,click,fixation,,1549630090551.83,0,521,357,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,layer,show,image-left,,1549630090551.83,13.609999999971478,,,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,layer,show,image-right,,1549630090551.83,13.74499999996624,,,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,146.0749999999971,523,357,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,160.79500000000553,533,357,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,175.14999999991414,552,357,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,189.9999999999418,569,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,205.03499999995256,584,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,226.94999999998254,606,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,241.76999999997497,613,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,255.95499999997264,617,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,270.57500000000437,622,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,292.46499999998923,624,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,329.5899999999383,625,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
46,2_1,bell,2_1FillerL,mouse,move,canvas,,1549630090551.83,446.9849999999278,626,356,chrome,72.0.3626,Windows 10,fr_bell.png,d39.png,f_bell_.wav
